Referentiality,Pronoun,emmean,SE,df,lower.CL,upper.CL
Referential,Masculine,0.7699649122807226,0.1738811272645588,42.148956721162975,0.41909532742645883,1.1208344971349864
Bound variable,Masculine,0.28500146198833587,0.24044693259863628,39.567332198914734,-0.20112550271275637,0.771128426689428
Referential,Feminine,0.4027865497076353,0.21817111409854476,40.153042138857714,-0.03810137359528187,0.8436744730105524
Bound variable,Feminine,0.7994883040936125,0.23991650170168105,39.579282871999254,0.31443835905117745,1.2845382491360475
Referential,Neutral,0.6061081871345317,0.23917729356516138,40.147921606513925,0.12276831876168531,1.0894480555073782
Bound variable,Neutral,0.3507884990253798,0.19177019046063373,37.5170722914315,-0.03759412912930604,0.7391711271800656
