Referentiality,Pronoun,emmean,SE,df,lower.CL,upper.CL
Referential,Congruent,0.860713450292391,0.2293626252571838,40.47701054664053,0.3973244047018282,1.3241024958829537
Bound variable,Congruent,0.5244561403508723,0.21688462464276603,40.920701504972754,0.08642297627577444,0.9624893044259701
Referential,Incongruent,-0.2554883040935756,0.22272741625198111,40.70275328593784,-0.7053952271033664,0.19441861891621526
Bound variable,Incongruent,0.7273567251461959,0.1771707841294603,43.11168451287797,0.3700845526081731,1.0846288976842187
Referential,Neutral,0.3982295321637398,0.19736754162080933,38.5075980319439,-0.0011472805854774726,0.7976063449129571
Bound variable,Neutral,0.2809100877192985,0.139949380891947,40.090651193047236,-0.0019182405952133386,0.5637384160338104
